"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000018727",100.079023275976,-1.59413331357226,0.306986030672925,-5.19285294538602,2.07095761077266e-07,1.10813664479458e-05
"ENSMUSG00000086552",78.6605922625151,-1.7906286496278,0.345014479060721,-5.19001015407432,2.10282613096257e-07,1.12141318366635e-05
"ENSMUSG00000040564",97.2638077420225,1.70354992876015,0.328316874335615,5.18873704620718,2.11725120462689e-07,1.12532963692076e-05
"ENSMUSG00000102555",291.788897933051,-1.01960761180717,0.198115730046095,-5.14652527373741,2.65355727220313e-07,1.37362645504405e-05
"ENSMUSG00000041193",135.494928911431,1.32722413890753,0.263174123281157,5.04314072508419,4.57952195732378e-07,2.20538675593302e-05
"ENSMUSG00000104093",137.121162801446,1.29962597298376,0.258071301810564,5.03591822827999,4.75563557863092e-07,2.2764024281808e-05
"ENSMUSG00000021070",64.1457744682978,1.89055970617417,0.3760002150609,5.02808144901715,4.95411457593639e-07,2.34317823930896e-05
"ENSMUSG00000035711",174.246157244502,-1.33091072360257,0.265359756076307,-5.01549573033168,5.28968993460409e-07,2.45800445733123e-05
"ENSMUSG00000020131",173.238646459095,1.15278716627457,0.22997201729663,5.01272798241205,5.36637347696906e-07,2.48636755964992e-05
"ENSMUSG00000021902",199.066152607352,1.10347786039176,0.220743678884032,4.99891034692538,5.76552002382492e-07,2.65581577445292e-05
"ENSMUSG00000044734",435.408624257675,-1.00336011946506,0.201252385258084,-4.98558125499163,6.17758099340978e-07,2.81619159775725e-05
"ENSMUSG00000046718",218.146467242388,1.35450782141565,0.27169693812436,4.98536284864453,6.18456372777046e-07,2.81619159775725e-05
"ENSMUSG00000092536",116.251654687745,1.41601992612576,0.283987832725712,4.98619927669017,6.15786318721454e-07,2.81619159775725e-05
"ENSMUSG00000076441",370.662255977849,1.02006252452755,0.204826865841827,4.98012074898061,6.35446130709892e-07,2.8852885454976e-05
"ENSMUSG00000027955",214.87313039753,-1.03778536796236,0.210724310294936,-4.92484880605301,8.44256062831926e-07,3.65583579033378e-05
"ENSMUSG00000114277",133.839217709215,1.32295718901164,0.268838858920574,4.92100433071135,8.61012251403179e-07,3.71826269002699e-05
"ENSMUSG00000016496",68.2552320151463,1.85174645736518,0.37888457601213,4.88736299813349,1.02195563292229e-06,4.365838418925e-05
"ENSMUSG00000110140",42.6201382538573,2.61728406805741,0.536795967605485,4.87575210322922,1.08394663536238e-06,4.58140423648375e-05
"ENSMUSG00000084984",294.89850196975,-1.03705040642902,0.21354007748705,-4.85646731345741,1.19498496468506e-06,4.99755291020395e-05
"ENSMUSG00000089769",92.3103612910337,-1.76847633166995,0.364192992357269,-4.85587688061579,1.19855157778553e-06,4.99931277537207e-05
"ENSMUSG00000079363",268.935584413397,2.4906025893603,0.518650172880238,4.80208572095744,1.57021442776371e-06,6.28560395113877e-05
"ENSMUSG00000078853",182.001601995946,1.23704402461014,0.258471872933694,4.78599087231235,1.70145789522424e-06,6.75989221772592e-05
"ENSMUSG00000032446",1040.97264487917,-1.71192884110636,0.358970926909381,-4.7689902239312,1.85151644123878e-06,7.33773049480467e-05
"ENSMUSG00000108832",88.2841091836573,-1.65302107226988,0.348040117542179,-4.74951302724334,2.03907062074347e-06,8.03642684072513e-05
"ENSMUSG00000021898",206.117734125061,1.08918106524655,0.232234705505229,4.69000127641138,2.73203344656704e-06,0.000102399706445385
"ENSMUSG00000000792",226.395541097537,1.09649045053366,0.234771151754165,4.67046501386946,3.00518665106178e-06,0.000111066107578311
"ENSMUSG00000036492",210.495901064873,1.11474284782118,0.238954695462963,4.6650803227006,3.08496510258918e-06,0.000112963745185132
"ENSMUSG00000135861",93.7852047895791,1.70106733607122,0.367180597565941,4.63278110920806,3.6078594697085e-06,0.000129719689349791
"ENSMUSG00000036446",206.749827721609,-1.01508545587525,0.21923140278549,-4.6302009793208,3.65310980015926e-06,0.000130899008683054
"ENSMUSG00000023393",40.1318723695039,2.29886014632349,0.497334762310817,4.62235966704209,3.79399464630541e-06,0.000134886270512496
"ENSMUSG00000022622",38.0248529094591,2.27871886874879,0.494876324456393,4.60462292523672,4.13213883559152e-06,0.000145283076051373
"ENSMUSG00000032556",77.9353150941098,-1.65290883703445,0.359038204921361,-4.60371295972938,4.15024387095912e-06,0.000145307335132575
"ENSMUSG00000120475",64.2196003493751,1.68632936620739,0.370775740762822,4.54811138058274,5.4129487237668e-06,0.000180340840918453
"ENSMUSG00000106056",171.768727298619,1.17092345549369,0.257726061715576,4.54328696019074,5.5383775407585e-06,0.000184133673384381
"ENSMUSG00000027824",73.0836462341689,1.56703353357647,0.347029954318026,4.51555698313123,6.31505620959459e-06,0.000206925511923458
"ENSMUSG00000018339",59.8603741620845,1.79144952108424,0.398450576186644,4.49603947929814,6.92308874611305e-06,0.000222266113844906
"ENSMUSG00000047246",143.714947262541,-1.23319717728966,0.274637564615227,-4.49027131090895,7.113251004171e-06,0.000226540651219009
"ENSMUSG00000028794",128.697855700719,-1.26592429585935,0.28351860974205,-4.46504833319797,8.00506782846548e-06,0.000250920193155766
"ENSMUSG00000029727",80.2930087800554,1.49481599177856,0.335112686162571,4.4606368350179,8.17164637259023e-06,0.000254634910104321
"ENSMUSG00000057457",185.070080507319,-1.03529930563919,0.234268826948816,-4.41927899295534,9.90307359735568e-06,0.000298633103622726
"ENSMUSG00000099964",172.677111976344,-1.03879996061953,0.236567334175027,-4.39113863392047,1.12758614412608e-05,0.000334945775746761
"ENSMUSG00000072919",62.8599932758855,-1.73189029422292,0.39802316045426,-4.35122994412268,1.35375987302013e-05,0.000392590363175839
"ENSMUSG00000078922",51.4280595149434,2.18495210442372,0.502917840281147,4.34455079820247,1.39560947036087e-05,0.000402523152504082
"ENSMUSG00000019933",133.561792959031,1.14389142173238,0.263378416305306,4.34314792297328,1.4045549273963e-05,0.000404369328010545
"ENSMUSG00000022388",110.687144205558,1.22089768793382,0.281259698612809,4.34081986845383,1.4195205989799e-05,0.000407938903417514
"ENSMUSG00000120226",52.2069970168187,1.89003823474942,0.436027988652235,4.33467181909936,1.45977734215126e-05,0.000417244271968846
"ENSMUSG00000109460",50.1689585449763,-1.89366877453753,0.438961663527977,-4.31397302287843,1.60346521544652e-05,0.000448631500068241
"ENSMUSG00000032436",110.302597772091,1.35140433168988,0.316034075876941,4.27613486912751,1.90166044533758e-05,0.000515719928281651
"ENSMUSG00000112295",47.564280223284,1.82329941885974,0.427178760847433,4.26823518857232,1.97025538949222e-05,0.000528394269858241
"ENSMUSG00000019874",473.52086358276,-2.03790541536632,0.478826345694039,-4.25604278814788,2.08076902338379e-05,0.000548384433161115
"ENSMUSG00000048373",81.5393717091445,1.37086949210769,0.322317548008958,4.25316431133186,2.10770803830294e-05,0.000553647870160502
"ENSMUSG00000052384",276.375368296455,1.00956831009247,0.237583676058311,4.24931681688722,2.14423474264301e-05,0.000560463462665835
