"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000044338",23.9021533143079,-1.92272651180225,0.446822131198359,-4.30311387362477,1.68414233882885e-05,0.000319669566916841,"Downregulated"
"ENSMUSG00000097075",52.8175727087812,-1.21057249257751,0.281373562720843,-4.30236757452065,1.68982668911021e-05,0.000320460855078344,"Downregulated"
"ENSMUSG00000097493",37.140087156578,1.51130434211552,0.352345186226406,4.28927200141853,1.79259728133456e-05,0.000336928617900615,"Upregulated"
"ENSMUSG00000109603",14.3356014340958,2.4467112852889,0.574995307067594,4.25518479058,2.08876434250752e-05,0.000384729285908724,"Upregulated"
"ENSMUSG00000142517",26.3509893339545,-1.72861479408143,0.406373422606592,-4.25375946830779,2.10211101301873e-05,0.000386850629854491,"Downregulated"
"ENSMUSG00000042828",33.9225898175635,1.53368733754223,0.360998498389795,4.24845905006009,2.15245981685903e-05,0.000394742088703245,"Upregulated"
"ENSMUSG00000070369",31.6484398380887,1.5690314711873,0.369530017819818,4.24601898499179,2.17602200923946e-05,0.0003987173776895,"Upregulated"
"ENSMUSG00000029082",17.9758413605669,2.16771096013754,0.511331241471395,4.23934777366582,2.24170145062782e-05,0.000409492101384623,"Upregulated"
"ENSMUSG00000085584",74.0203873484547,1.00153654056037,0.237423317721818,4.21835795308801,2.46087926319419e-05,0.000445889391775846,"Upregulated"
"ENSMUSG00000134630",44.8629434049604,1.44229929428607,0.34278289390631,4.20761747428469,2.58077248744621e-05,0.000462853555954623,"Upregulated"
"ENSMUSG00000033715",90.4197817337779,-1.11093779331585,0.265468155480957,-4.18482507366328,2.85385780272445e-05,0.000502873526988405,"Downregulated"
"ENSMUSG00000106678",65.9370576880336,-1.09719406172479,0.263000881534771,-4.1718265555689,3.02167613327005e-05,0.000528044147421447,"Downregulated"
"ENSMUSG00000133926",12.9589563934999,2.5308449321271,0.607142587036466,4.16845233091036,3.06674879833826e-05,0.000532838153992297,"Upregulated"
"ENSMUSG00000025140",58.9203674958297,-1.09358191499201,0.26415994350983,-4.13984762588093,3.47536587251193e-05,0.000592633962695684,"Downregulated"
"ENSMUSG00000001494",31.3236224164444,-1.55447505840233,0.37981931675509,-4.09266982965131,4.26434708573494e-05,0.000701163445784333,"Downregulated"
"ENSMUSG00000000731",8.71565404664046,3.35780889645377,0.823071134175675,4.07960959512533,4.51113982496937e-05,0.000735033960294978,"Upregulated"
"ENSMUSG00000046764",9.91420984403557,4.95285617701195,1.21469884770979,4.07743547822586,4.55351601756985e-05,0.000739708789842279,"Upregulated"
"ENSMUSG00000056771",77.9154337207003,-1.01029236824407,0.247872263299371,-4.07585889117363,4.58448146589829e-05,0.000743966696825936,"Downregulated"
"ENSMUSG00000049676",26.8453568319166,-1.64190547340223,0.403896017371483,-4.06516876320693,4.79977180505088e-05,0.000774150837664385,"Downregulated"
"ENSMUSG00000087675",66.914317596762,1.01295190761833,0.249811164243408,4.05487044858948,5.0162096001541e-05,0.000805373971110542,"Upregulated"
"ENSMUSG00000052688",58.0997535462965,-1.05865206665743,0.261290354523638,-4.05163087090405,5.08618637373952e-05,0.000814136342715535,"Downregulated"
"ENSMUSG00000030699",65.6881180036538,-1.06709229979223,0.263927296598924,-4.04312973134353,5.27424184848088e-05,0.000840420828079339,"Downregulated"
"ENSMUSG00000059456",398.535164460412,1.15067097844698,0.284736347836774,4.04118050677044,5.31828012497491e-05,0.000845526565733793,"Upregulated"
"ENSMUSG00000074269",74.0150635027837,-1.00332219006427,0.2483821960482,-4.03942877560181,5.35815354005024e-05,0.000849311518773331,"Downregulated"
"ENSMUSG00000108604",31.6492027954195,1.59194314591062,0.394391445400023,4.03645455417001,5.4265031331598e-05,0.000856294095154209,"Upregulated"
