"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000110910",5.0654791708567,-0.973546263777327,1.07120576907599,-0.908832170141404,0.363438722555851,NA,"Not significant"
"ENSMUSG00000110914",4.31731263728668,0.237501963431523,1.11939950477177,0.212169080314134,0.831975127925927,NA,"Not significant"
"ENSMUSG00000110915",3.8792193161206,0.613595956717473,1.10531270354818,0.555133361579721,0.578803445092383,NA,"Not significant"
"ENSMUSG00000110924",13.7929886925786,2.67458817334369,1.87912433301328,1.42331623637422,0.154644502306011,NA,"Not significant"
"ENSMUSG00000110926",4.0950031577054,0.803422775540231,1.03616492190318,0.775381175869704,0.438114454994034,NA,"Not significant"
"ENSMUSG00000110928",18.5085691719518,0.578036885362473,0.534544493222156,1.08136346495341,0.279535466696207,NA,"Not significant"
"ENSMUSG00000110929",5.40473476317137,0.693556888410231,0.9628442078628,0.720320985208709,0.471327386995182,NA,"Not significant"
"ENSMUSG00000110959",1.29020304198571,0.580784363834494,1.85740288532702,0.3126862612428,0.754519034485719,NA,"Not significant"
"ENSMUSG00000110960",3.32626152230308,-0.836879706665265,1.15483195732836,-0.72467660888199,0.468650448410966,NA,"Not significant"
"ENSMUSG00000110962",1.21415484859609,-0.935055035879113,1.92788948912492,-0.485014852331365,0.627665810025561,NA,"Not significant"
"ENSMUSG00000110980",33.707288196918,0.107607017930418,0.39569257633138,0.271946011542809,0.785663531831309,NA,"Not significant"
"ENSMUSG00000110982",29.4784058674245,-0.42419426858526,0.387679366358706,-1.09418840772859,0.27387235456018,NA,"Not significant"
"ENSMUSG00000110986",7.18240174054944,0.968861004897623,0.834347700243694,1.16121972244262,0.245552556193163,NA,"Not significant"
"ENSMUSG00000110993",18.2047300180069,-0.201383643316025,0.544668440324915,-0.369736207216068,0.711579051105581,NA,"Not significant"
"ENSMUSG00000110996",4.14885599808238,-2.4061828307092,1.19314908852326,-2.01666569069529,0.0437304126540744,NA,"Not significant"
"ENSMUSG00000110997",24.3264855817703,-0.395577614548568,0.524534051191485,-0.754150495377773,0.450758859522847,NA,"Not significant"
"ENSMUSG00000111000",1.36728794319601,0.61085321274521,1.91721681944834,0.318614570114702,0.750018803493944,NA,"Not significant"
"ENSMUSG00000111003",24.6316882282998,-0.482508739148074,0.445077734918732,-1.08409992523256,0.278320496003063,NA,"Not significant"
"ENSMUSG00000111004",12.4126690984582,-0.149038835435873,0.668915004741138,-0.222806835516493,0.823685847759466,NA,"Not significant"
"ENSMUSG00000111008",4.82057842498295,-0.172210385489661,1.03770398579715,-0.165953285182162,0.868193713320477,NA,"Not significant"
"ENSMUSG00000111013",22.66451580536,-0.686320024946717,0.526737748725069,-1.30296343219734,0.192587246168176,NA,"Not significant"
"ENSMUSG00000111017",3.24587713741936,-0.129813533878974,1.12053419553814,-0.11584968526251,0.90777167243633,NA,"Not significant"
"ENSMUSG00000111019",3.01936664640326,0.4027688564338,1.2544288679173,0.321077477356294,0.748151677888894,NA,"Not significant"
"ENSMUSG00000111028",3.78139438289448,-0.991386535033085,1.13456223647545,-0.873805334921822,0.382224274628654,NA,"Not significant"
"ENSMUSG00000111030",6.04360491408527,-0.39951843738848,0.908349806087081,-0.439828835445559,0.660061081300504,NA,"Not significant"
"ENSMUSG00000111037",1.73952471453556,1.38478013949097,1.59199392732265,0.869840089038424,0.384387799845602,NA,"Not significant"
"ENSMUSG00000111050",1.25139672606244,1.14385427027538,2.01032609197923,0.568989416612116,0.569363322222609,NA,"Not significant"
"ENSMUSG00000111054",7.43747748445623,0.134213119093462,0.776483053319349,0.172847454325913,0.8627713352161,NA,"Not significant"
"ENSMUSG00000111055",9.09958027325786,-0.427173942416543,0.729046476746019,-0.585935130395479,0.55791910837583,NA,"Not significant"
"ENSMUSG00000111058",7.27539046807226,0.32699932737643,0.841743496987608,0.388478590623723,0.697661894653842,NA,"Not significant"
"ENSMUSG00000111059",2.60947171956592,1.57277695986955,1.39787598561376,1.12511909214822,0.260538571964443,NA,"Not significant"
"ENSMUSG00000111067",33.0584781303523,-0.0363749049353723,0.462831927199357,-0.0785920391349847,0.937357119803117,NA,"Not significant"
"ENSMUSG00000111069",1.6356076341014,0.0723590105503625,1.84060358726726,0.0393126532246924,0.96864111860105,NA,"Not significant"
"ENSMUSG00000111070",1.27169452894619,1.90117725001455,2.01873255202253,0.941767768152249,0.346311550544753,NA,"Not significant"
"ENSMUSG00000111079",24.458187115799,-0.092905168654553,0.442129592165363,-0.210131079893438,0.833565368716015,NA,"Not significant"
