Geneid	SRR5364318
ENSMUSG00000058603	117
ENSMUSG00000102782	0
ENSMUSG00000103999	1
ENSMUSG00000067750	0
ENSMUSG00000041722	0
ENSMUSG00000085507	0
ENSMUSG00000094926	0
ENSMUSG00000085079	0
ENSMUSG00000100225	0
ENSMUSG00000100768	1
ENSMUSG00000104121	2
ENSMUSG00000102383	0
ENSMUSG00000104400	1
ENSMUSG00000102293	0
ENSMUSG00000102649	8
ENSMUSG00000084106	960
ENSMUSG00000102571	2
ENSMUSG00000102956	1
ENSMUSG00000103984	16
ENSMUSG00000046994	998
ENSMUSG00000079440	0
ENSMUSG00000100940	0
ENSMUSG00000028033	221
ENSMUSG00000036500	0
ENSMUSG00000104138	0
ENSMUSG00000082935	194
ENSMUSG00000103748	0
ENSMUSG00000100215	166
ENSMUSG00000101945	0
ENSMUSG00000101085	0
ENSMUSG00000038349	1139
ENSMUSG00000102145	3
ENSMUSG00000100309	0
ENSMUSG00000102831	1
ENSMUSG00000101535	0
ENSMUSG00000104239	3
ENSMUSG00000102491	0
ENSMUSG00000102179	0
ENSMUSG00000103497	7
ENSMUSG00000065520	3
ENSMUSG00000100944	0
ENSMUSG00000101332	0
ENSMUSG00000103021	0
ENSMUSG00000103501	0
ENSMUSG00000026354	9
ENSMUSG00000102245	0
ENSMUSG00000103962	0
ENSMUSG00000102789	0
ENSMUSG00000088196	0
ENSMUSG00000100152	0
ENSMUSG00000100941	0
ENSMUSG00000088432	0
ENSMUSG00000100078	25
ENSMUSG00000099403	0
ENSMUSG00000097283	0
ENSMUSG00000064737	0
ENSMUSG00000103742	0
ENSMUSG00000103637	0
ENSMUSG00000104130	0
ENSMUSG00000089648	27
ENSMUSG00000094122	2
ENSMUSG00000102800	0
ENSMUSG00000103803	0
ENSMUSG00000103281	0
ENSMUSG00000100623	0
ENSMUSG00000086633	0
ENSMUSG00000104419	0
ENSMUSG00000089057	0
ENSMUSG00000102606	0
ENSMUSG00000103314	0
ENSMUSG00000101468	6
ENSMUSG00000088318	0
ENSMUSG00000073730	0
ENSMUSG00000089553	0
ENSMUSG00000102766	0
ENSMUSG00000065405	0
ENSMUSG00000097970	45
ENSMUSG00000065567	0
ENSMUSG00000100775	6
ENSMUSG00000101226	1
ENSMUSG00000097920	1
ENSMUSG00000088559	0
ENSMUSG00002076207	0
ENSMUSG00000039349	344
ENSMUSG00000103762	2
ENSMUSG00000103971	2
ENSMUSG00000070103	0
ENSMUSG00000102508	1
ENSMUSG00000102618	1
ENSMUSG00000102784	1
ENSMUSG00000102495	0
ENSMUSG00000073530	12
ENSMUSG00000047661	0
ENSMUSG00000061992	0
ENSMUSG00000104169	0
ENSMUSG00000103572	1
ENSMUSG00000103186	15
ENSMUSG00002074853	2
ENSMUSG00000105399	0
ENSMUSG00000103289	0
ENSMUSG00000103389	0
ENSMUSG00002075146	0
ENSMUSG00000105770	0
ENSMUSG00000102398	5
ENSMUSG00000097670	0
ENSMUSG00000103225	0
ENSMUSG00000073528	0
ENSMUSG00000103719	0
ENSMUSG00000088145	1
ENSMUSG00000090394	177
ENSMUSG00000089275	0
ENSMUSG00000065581	0
ENSMUSG00000065562	0
ENSMUSG00000102526	25
