"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071459","protein localization to chromosome, centromeric region","4/290","37/25730",0.108108108108108,9.59179869524697,5.58379474354583,0.000778823876788863,0.0408085988966725,0.0351689174182361,"H4c14/Cenpa/H4c9/Bub1b",4
"GO:0001894","tissue homeostasis","11/290","307/25730",0.0358306188925081,3.17904077277322,4.10084207259325,0.000779445560020614,0.0408085988966725,0.0351689174182361,"Mkks/Bdkrb2/Aipl1/Fosl2/Adam8/Itgb3/Ptk2b/Muc2/Inava/Dlk1/Ildr1",11
"GO:0060249","anatomical structure homeostasis","11/290","307/25730",0.0358306188925081,3.17904077277322,4.10084207259325,0.000779445560020614,0.0408085988966725,0.0351689174182361,"Mkks/Bdkrb2/Aipl1/Fosl2/Adam8/Itgb3/Ptk2b/Muc2/Inava/Dlk1/Ildr1",11
"GO:0060294","cilium movement involved in cell motility","10/290","263/25730",0.0380228136882129,3.37354136619903,4.13083343994011,0.000855495238069315,0.0434021037612273,0.0374040041615048,"Cacna1e/Mkks/Ttll8/Gapdhs/Garin2/Tac4/Taf7l/Tcte1/Klc3/Spem1",10
"GO:0009084","glutamine family amino acid biosynthetic process","3/290","17/25730",0.176470588235294,15.657200811359,6.45432786335825,0.000857082657635114,0.0434021037612273,0.0374040041615048,"Asl/Noxred1/Pycr1",3
"GO:0002090","regulation of receptor internalization","6/290","99/25730",0.0606060606060606,5.37722048066876,4.6589188245933,0.000907687821705186,0.0435752329884859,0.0375532072133311,"Ntf3/Grem1/Itgb3/Aplnr/Drd4/Rspo1",6
"GO:0001952","regulation of cell-matrix adhesion","7/290","136/25730",0.0514705882352941,4.56668356997972,4.45263249580305,0.00091043233164485,0.0435752329884859,0.0375532072133311,"Apod/Grem1/Itgb3/Bst1/Ptk2b/Ccl28/Cd3e",7
"GO:0002429","immune response-activating cell surface receptor signaling pathway","11/290","314/25730",0.035031847133758,3.10817043707446,4.01299705470796,0.000936192169891154,0.0435752329884859,0.0375532072133311,"Sh2b2/Mog/Fosl2/Nr4a3/Rab7b/C3/Oas1b/Oas1c/Cd3e/Btn1a1/Ltf",11
"GO:0060337","type I interferon-mediated signaling pathway","6/290","100/25730",0.06,5.32344827586207,4.62495874825706,0.000956643756245496,0.0435752329884859,0.0375532072133311,"Irf7/Zbp1/Nlrc5/Oas1b/Ifitm6/Oas1c",6
"GO:0071357","cellular response to type I interferon","6/290","100/25730",0.06,5.32344827586207,4.62495874825706,0.000956643756245496,0.0435752329884859,0.0375532072133311,"Irf7/Zbp1/Nlrc5/Oas1b/Ifitm6/Oas1c",6
"GO:0001539","cilium or flagellum-dependent cell motility","10/290","267/25730",0.0374531835205993,3.323001420638,4.073823602307,0.000959247602206877,0.0435752329884859,0.0375532072133311,"Cacna1e/Mkks/Ttll8/Gapdhs/Garin2/Tac4/Taf7l/Tcte1/Klc3/Spem1",10
"GO:0060285","cilium-dependent cell motility","10/290","267/25730",0.0374531835205993,3.323001420638,4.073823602307,0.000959247602206877,0.0435752329884859,0.0375532072133311,"Cacna1e/Mkks/Ttll8/Gapdhs/Garin2/Tac4/Taf7l/Tcte1/Klc3/Spem1",10
"GO:0046348","amino sugar catabolic process","3/290","18/25730",0.166666666666667,14.7873563218391,6.24742745015382,0.00101995896685411,0.0450049027121039,0.0387852989245066,"Ovgp1/Chia1/Chil3",3
"GO:0070486","leukocyte aggregation","3/290","18/25730",0.166666666666667,14.7873563218391,6.24742745015382,0.00101995896685411,0.0450049027121039,0.0387852989245066,"Nr4a3/Adam8/S100a9",3
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","7/290","139/25730",0.0503597122302158,4.46812205408087,4.37733761279909,0.00103442800018109,0.0450049027121039,0.0387852989245066,"Slc15a2/Irgm1/Igtp/Gbp5/Hspa1b/Hspa1a/Rab7b",7
